IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	524288,	32768,	Conv1,	21.01078850191876,	2.523206140033307,	40.53812178698139,	79.61414814278474,	40.53812178698139,
32768,	524288,	32768,	Conv2,	5.844645283241775,	13.065390749601276,	0.45743989603638724,	19.316882273022625,	6.404158544509421,
