IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	524288,	131072,	Conv1,	3.9286617159108865,	0.9176805182493285,	14.743561384104915,	28.95536419655554,	14.743561384104915,
262144,	524288,	131072,	Conv2,	0.9583554846712742,	13.065390749601276,	0.45743989603638724,	19.316882273022625,	6.404158544509421,
