IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
131072,	32768,	32768,	Conv1,	47,	10,	96,	512,	96,
131072,	32768,	32768,	Conv2,	10,	256,	10,	512,	256,
