IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	131072,	65536,	Conv1,	14.49595364172245,	1.7408332500749326,	27.968428414427017,	54.9281146967729,	27.968428414427017,
32768,	131072,	65536,	Conv2,	13.938228561366438,	31.158161648177497,	1.0908962845571404,	46.0666314491988,	15.272547983799965,
