IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
65536,	131072,	32768,	Conv1,	16.859360189573458,	2.0644549763033178,	33.16777251184834,	65.13927725118484,	33.16777251184834,
65536,	131072,	32768,	Conv2,	2.285472794506075,	31.158161648177497,	1.0908962845571404,	46.0666314491988,	15.272547983799965,
