IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
32768,	65536,	262144,	Conv1,	55,	10,	87,	512,	96,
32768,	65536,	262144,	Conv2,	37,	74,	10,	512,	256,
