IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	32768,	65536,	Conv1,	4.74332315909958,	1.1079740557039297,	17.800839374284624,	34.959652804273176,	17.800839374284624,
524288,	32768,	65536,	Conv2,	2.9800247968039675,	40.62708362033338,	1.4224181475869035,	60.06621665059466,	19.91385406621665,
