IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	262144,	262144,	Conv1,	7.319644839067703,	0.8790233074361821,	14.122490162445768,	27.73562203612148,	14.122490162445768,
32768,	262144,	262144,	Conv2,	9.536311503060093,	21.31791238976435,	0.7463736687388559,	31.51804732302058,	10.449231362343983,
