IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	32768,	32768,	Conv1,	21.33205910460928,	2.561787840917445,	41.1579798573844,	80.83150775564214,	41.1579798573844,
32768,	32768,	32768,	Conv2,	21.319543201896142,	47.65869424692954,	1.6686059039000216,	70.46229260935144,	23.3604826546003,
