IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	32768,	262144,	Conv1,	10,	10,	87,	512,	96,
524288,	32768,	262144,	Conv2,	10,	256,	10,	512,	256,
