IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
2097152,	131072,	32768,	Conv1,	5.909566250742722,	1.380392156862745,	22.17754010695187,	43.5551990493167,	22.17754010695187,
2097152,	131072,	32768,	Conv2,	2.285472794506075,	31.158161648177497,	1.0908962845571404,	46.0666314491988,	15.272547983799965,
