IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
131072,	262144,	65536,	Conv1,	9.478728787827672,	1.1756688370837691,	18.888431564387165,	37.09561080935191,	18.888431564387165,
131072,	262144,	65536,	Conv2,	1.5636836778950411,	21.31791238976435,	0.7463736687388559,	31.51804732302058,	10.449231362343983,
