IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	262144,	32768,	Conv1,	5.909566250742722,	1.380392156862745,	22.17754010695187,	43.5551990493167,	22.17754010695187,
262144,	262144,	32768,	Conv2,	1.5636836778950411,	21.31791238976435,	0.7463736687388559,	31.51804732302058,	10.449231362343983,
