IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	524288,	1048576,	Conv1,	7.590771162498692,	0.9115831327822539,	7.322800041854138,	28.762974782881656,	14.645600083708276,
32768,	524288,	1048576,	Conv2,	5.844645283241775,	13.065390749601276,	0.45743989603638724,	19.316882273022625,	6.404158544509421,
