IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
131072,	524288,	262144,	Conv1,	47,	10,	87,	512,	96,
131072,	524288,	262144,	Conv2,	10,	51,	10,	512,	256,
