IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
131072,	262144,	2097152,	Conv1,	5.871538734822678,	0.7282606424108169,	5.850159871267058,	22.978642034649223,	11.700319742534116,
131072,	262144,	2097152,	Conv2,	1.5636836778950411,	21.31791238976435,	0.7463736687388559,	31.51804732302058,	10.449231362343983,
