IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	32768,	65536,	Conv1,	14.648157496214033,	1.7591115598182736,	28.26208985360929,	55.50484603735487,	28.26208985360929,
32768,	32768,	65536,	Conv2,	21.319543201896142,	47.65869424692954,	1.6686059039000216,	70.46229260935144,	23.3604826546003,
