IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
131072,	131072,	65536,	Conv1,	9.478728787827672,	1.1756688370837691,	18.888431564387165,	37.09561080935191,	18.888431564387165,
131072,	131072,	65536,	Conv2,	2.285472794506075,	31.158161648177497,	1.0908962845571404,	46.0666314491988,	15.272547983799965,
