IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
32768,	262144,	131072,	Conv1,	10.933685003767897,	1.3130369253956293,	21.09540316503391,	41.42995478522984,	21.09540316503391,
32768,	262144,	131072,	Conv2,	9.536311503060093,	21.31791238976435,	0.7463736687388559,	31.51804732302058,	10.449231362343983,
